"","Gene","GeneSymbol","Chr","start","end","band","cytoband","isCentromer","Position","new_positions"
"3293","TNFRSF18","TNFRSF18","1",1203508,1206592,"p36.33","1p","no",1205050,25
"3296","TNFRSF4","TNFRSF4","1",1211326,1214153,"p36.33","1p","no",1212739.5,26
"2895","SDF4","SDF4","1",1216931,1232031,"p36.33","1p","no",1224481,27
"227","B3GALT6","B3GALT6","1",1232237,1235041,"p36.33","1p","no",1233639,28
"314","C1QTNF12","C1QTNF12","1",1242446,1246722,"p36.33","1p","no",1244584,29
"3394","UBE2J2","UBE2J2","1",1253909,1273864,"p36.33","1p","no",1263886.5,30
"1752","LINC01786","LINC01786","1",1274033,1280420,"p36.33","1p","no",1277226.5,31
"2887","SCNN1D","SCNN1D","1",1280436,1292029,"p36.33","1p","no",1286232.5,32
"13","ACAP3","ACAP3","1",1292390,1309609,"p36.33","1p","no",1300999.5,33
"2679","PUSL1","PUSL1","1",1308597,1311677,"p36.33","1p","no",1310137,34
"1397","INTS11","INTS11","1",1311585,1324687,"p36.33","1p","no",1318136,35
"560","CPTP","CPTP","1",1324756,1328896,"p36.33","1p","no",1326826,36
"3174","TAS1R3","TAS1R3","1",1331280,1335314,"p36.33","1p","no",1333297,37
"732","DVL1","DVL1","1",1335276,1349418,"p36.33","1p","no",1342347,38
"2108","MXRA8","MXRA8","1",1352689,1361777,"p36.33","1p","no",1357233,39
"219","AURKAIP1","AURKAIP1","1",1373730,1375207,"p36.33","1p","no",1374468.5,40
"387","CCNL2","CCNL2","1",1385711,1399335,"p36.33","1p","no",1392523,41
"2068","MRPL20-AS1","MRPL20-AS1","1",1399476,1402054,"p36.33","1p","no",1400765,42
"2067","MRPL20","MRPL20","1",1401909,1407293,"p36.33","1p","no",1404601,43
"2069","MRPL20-DT","MRPL20-DT","1",1409096,1410618,"p36.33","1p","no",1409857,44
"130","ANKRD65","ANKRD65","1",1418420,1421769,"p36.33","1p","no",1420094.5,45
"131","ANKRD65-AS1","ANKRD65-AS1","1",1420245,1423287,"p36.33","1p","no",1421766,46
"3283","TMEM88B","TMEM88B","1",1425871,1430255,"p36.33","1p","no",1428063,47
"1738","LINC01770","LINC01770","1",1429194,1435625,"p36.33","1p","no",1432409.5,48
"3457","VWA1","VWA1","1",1434861,1442882,"p36.33","1p","no",1438871.5,49
"189","ATAD3C","ATAD3C","1",1449689,1470163,"p36.33","1p","no",1459926,50
"188","ATAD3B","ATAD3B","1",1471765,1497848,"p36.33","1p","no",1484806.5,51
"187","ATAD3A","ATAD3A","1",1512162,1534685,"p36.33","1p","no",1523423.5,52
"3262","TMEM240","TMEM240","1",1534778,1540624,"p36.33","1p","no",1537701,53
"3109","SSU72","SSU72","1",1541673,1574863,"p36.33","1p","no",1558268,54
"954","FNDC10","FNDC10","1",1598012,1600135,"p36.33","1p","no",1599073.5,55
"2019","MIB2","MIB2","1",1615454,1630605,"p36.33","1p","no",1623029.5,56
"2049","MMP23B","MMP23B","1",1632163,1635263,"p36.33","1p","no",1633713,57
"432","CDK11B","CDK11B","1",1635225,1659012,"p36.33","1p","no",1647118.5,58
"2988","SLC35E2B","SLC35E2B","1",1659529,1692795,"p36.33","1p","no",1676162,59
"431","CDK11A","CDK11A","1",1702379,1724357,"p36.33","1p","no",1713368,60
"2125","NADK","NADK","1",1751232,1780457,"p36.33","1p","no",1765844.5,61
"1036","GNB1","GNB1","1",1785285,1892292,"p36.33","1p","no",1838788.5,62
"1037","GNB1-DT","GNB1-DT","1",1891175,1892835,"p36.33","1p","no",1892005,63
"343","CALML6","CALML6","1",1915108,1917296,"p36.33","1p","no",1916202,64
"3272","TMEM52","TMEM52","1",1917590,1919279,"p36.33","1p","no",1918434.5,65
"465","CFAP74","CFAP74","1",1921951,2003837,"p36.33","1p","no",1962894,66
"980","GABRD","GABRD","1",2019329,2030758,"p36.33","1p","no",2025043.5,67
"2631","PRKCZ-DT","PRKCZ-DT","1",2049202,2050176,"p36.33","1p","no",2049689,68
"2629","PRKCZ","PRKCZ","1",2050411,2185395,"p36.33","1p","no",2117903,69
"2630","PRKCZ-AS1","PRKCZ-AS1","1",2181794,2184389,"p36.33","1p","no",2183091.5,70
"855","FAAP20","FAAP20","1",2184461,2212720,"p36.33","1p","no",2198590.5,71
"2952","SKI","SKI","1",2227388,2310213,"p36.33","1p","no",2268800.5,72
"2054","MORN1","MORN1","1",2321253,2391707,"p36.32","1p","no",2356480,73
"2748","RER1","RER1","1",2391775,2405442,"p36.32","1p","no",2398608.5,74
"2436","PEX10","PEX10","1",2403964,2413797,"p36.32","1p","no",2408880.5,75
"2490","PLCH2","PLCH2","1",2425980,2505532,"p36.32","1p","no",2465756,76
"2391","PANK4","PANK4","1",2508537,2526597,"p36.32","1p","no",2517567,77
"1138","HES5","HES5","1",2528745,2530263,"p36.32","1p","no",2529504,78
"2045","MMEL1","MMEL1","1",2590639,2633016,"p36.32","1p","no",2611827.5,79
"29","ACTRT2","ACTRT2","1",3021467,3022903,"p36.32","1p","no",3022185,80
"2614","PRDM16-DT","PRDM16-DT","1",3059564,3070251,"p36.32","1p","no",3064907.5,81
"2613","PRDM16","PRDM16","1",3069168,3438621,"p36.32","1p","no",3253894.5,82
"155","ARHGEF16","ARHGEF16","1",3454665,3481113,"p36.32","1p","no",3467889,83
"2001","MEGF6","MEGF6","1",3487951,3611508,"p36.32","1p","no",3549729.5,84
"3322","TPRG1L","TPRG1L","1",3625015,3630127,"p36.32","1p","no",3627571,85
"3483","WRAP73","WRAP73","1",3630767,3652761,"p36.32","1p","no",3641764,86
"3316","TP73","TP73","1",3652516,3736201,"p36.32","1p","no",3694358.5,87
"3318","TP73-AS3","TP73-AS3","1",3658938,3668772,"p36.32","1p","no",3663855,88
"3317","TP73-AS2","TP73-AS2","1",3712200,3714298,"p36.32","1p","no",3713249,89
"380","CCDC27","CCDC27","1",3746460,3771645,"p36.32","1p","no",3759052.5,90
"3022","SMIM1","SMIM1","1",3772749,3775982,"p36.32","1p","no",3774365.5,91
"1920","LRRC47","LRRC47","1",3778559,3796498,"p36.32","1p","no",3787528.5,92
"449","CEP104","CEP104","1",3812086,3857396,"p36.32","1p","no",3834741,93
"659","DFFB","DFFB","1",3857267,3885429,"p36.32","1p","no",3871348,94
"291","C1orf174","C1orf174","1",3889125,3900293,"p36.32","1p","no",3894709,95
"1612","LINC01134","LINC01134","1",3900187,3917547,"p36.32","1p","no",3908867,96
"1639","LINC01346","LINC01346","1",3940486,3955262,"p36.32","1p","no",3947874,97
"1638","LINC01345","LINC01345","1",3944547,3949024,"p36.32","1p","no",3946785.5,98
"1833","LINC02780","LINC02780","1",3976133,4093062,"p36.32","1p","no",4034597.5,99
"1743","LINC01777","LINC01777","1",4412027,4424689,"p36.32","1p","no",4418358,100
"1674","LINC01646","LINC01646","1",4571481,4594016,"p36.32","1p","no",4582748.5,101
"76","AJAP1","AJAP1","1",4654609,4792534,"p36.32","1p","no",4723571.5,102
"1834","LINC02781","LINC02781","1",4973381,4981568,"p36.32","1p","no",4977474.5,103
"1835","LINC02782","LINC02782","1",5086459,5090899,"p36.32","1p","no",5088679,104
"2212","NPHP4","NPHP4","1",5862811,5992473,"p36.31","1p","no",5927642,105
"1437","KCNAB2","KCNAB2","1",5990927,6101193,"p36.31","1p","no",6046060,106
"478","CHD5","CHD5","1",6101787,6180321,"p36.31","1p","no",6141054,107
"2824","RPL22","RPL22","1",6185020,6209389,"p36.31","1p","no",6197204.5,108
"2806","RNF207-AS1","RNF207-AS1","1",6204835,6206041,"p36.31","1p","no",6205438,109
"2805","RNF207","RNF207","1",6205475,6221299,"p36.31","1p","no",6213387,110
"1203","ICMT","ICMT","1",6221193,6235972,"p36.31","1p","no",6228582.5,111
"1204","ICMT-DT","ICMT-DT","1",6234692,6239448,"p36.31","1p","no",6237070,112
"1136","HES3","HES3","1",6244179,6245578,"p36.31","1p","no",6244878.5,113
"1061","GPR153","GPR153","1",6247353,6261098,"p36.31","1p","no",6254225.5,114
"19","ACOT7","ACOT7","1",6264269,6393767,"p36.31","1p","no",6329018,115
"1135","HES2","HES2","1",6412418,6424670,"p36.31","1p","no",6418544,116
"829","ESPN","ESPN","1",6424776,6461367,"p36.31","1p","no",6443071.5,117
"3295","TNFRSF25","TNFRSF25","1",6460786,6466175,"p36.31","1p","no",6463480.5,118
"2495","PLEKHG5","PLEKHG5","1",6467122,6520074,"p36.31","1p","no",6493598,119
"2203","NOL9","NOL9","1",6521347,6554513,"p36.31","1p","no",6537930,120
"3172","TAS1R1","TAS1R1","1",6555307,6579755,"p36.31","1p","no",6567531,121
"3509","ZBTB48","ZBTB48","1",6579994,6589280,"p36.31","1p","no",6584637,122
"1497","KLHL21","KLHL21","1",6590724,6614607,"p36.31","1p","no",6602665.5,123
"2454","PHF13","PHF13","1",6613731,6624030,"p36.31","1p","no",6618880.5,124
"3220","THAP3","THAP3","1",6624868,6635586,"p36.31","1p","no",6630227,125
"689","DNAJC11","DNAJC11","1",6634168,6701924,"p36.31","1p","no",6668046,126
"1683","LINC01672","LINC01672","1",6724626,6730012,"p36.31","1p","no",6727319,127
"352","CAMTA1-DT","CAMTA1-DT","1",6783892,6784843,"p36.31","1p","no",6784367.5,128
"348","CAMTA1","CAMTA1","1",6785454,7769706,"p36.31","1p","no",7277580,129
"351","CAMTA1-AS3","CAMTA1-AS3","1",7008376,7014279,"p36.31","1p","no",7011327.5,130
"353","CAMTA1-IT1","CAMTA1-IT1","1",7312886,7370277,"p36.23","1p","no",7341581.5,131
"350","CAMTA1-AS2","CAMTA1-AS2","1",7379384,7389915,"p36.23","1p","no",7384649.5,132
"349","CAMTA1-AS1","CAMTA1-AS1","1",7440491,7441612,"p36.23","1p","no",7441051.5,133
"3433","VAMP3","VAMP3","1",7771296,7781432,"p36.23","1p","no",7776364,134
"2434","PER3","PER3","1",7784291,7845177,"p36.23","1p","no",7814734,135
"3432","UTS2","UTS2","1",7843083,7853512,"p36.23","1p","no",7848297.5,136
"3298","TNFRSF9","TNFRSF9","1",7915871,7943165,"p36.23","1p","no",7929518,137
"2397","PARK7","PARK7","1",7954291,7985505,"p36.23","1p","no",7969898,138
"827","ERRFI1","ERRFI1","1",8004404,8026309,"p36.23","1p","no",8015356.5,139
"828","ERRFI1-DT","ERRFI1-DT","1",8026413,8187014,"p36.23","1p","no",8106713.5,140
"1707","LINC01714","LINC01714","1",8158695,8215242,"p36.23","1p","no",8186968.5,141
"2997","SLC45A1","SLC45A1","1",8318114,8344167,"p36.23","1p","no",8331140.5,142
"2749","RERE","RERE","1",8352397,8848921,"p36.23","1p","no",8600659,143
"2750","RERE-AS1","RERE-AS1","1",8424645,8435013,"p36.23","1p","no",8429829,144
"799","ENO1","ENO1","1",8861000,8879190,"p36.23","1p","no",8870095,145
"800","ENO1-AS1","ENO1-AS1","1",8878464,8880122,"p36.23","1p","no",8879293,146
"334","CA6","CA6","1",8945867,8975092,"p36.23","1p","no",8960479.5,147
"2978","SLC2A7","SLC2A7","1",9002973,9026423,"p36.23","1p","no",9014698,148
"2977","SLC2A5","SLC2A5","1",9035106,9088478,"p36.23","1p","no",9061792,149
"1062","GPR157","GPR157","1",9100305,9129102,"p36.22","1p","no",9114703.5,150
"2032","MIR34AHG","MIR34AHG","1",9139555,9202826,"p36.22","1p","no",9171190.5,151
"1900","LNCTAM34A","LNCTAM34A","1",9181588,9198023,"p36.22","1p","no",9189805.5,152
"1117","H6PD","H6PD","1",9234774,9271337,"p36.22","1p","no",9253055.5,153
"3087","SPSB1","SPSB1","1",9292894,9369532,"p36.22","1p","no",9331213,154
"1813","LINC02606","LINC02606","1",9425094,9455910,"p36.22","1p","no",9440502,155
"2968","SLC25A33","SLC25A33","1",9539465,9585173,"p36.22","1p","no",9562319,156
"3258","TMEM201","TMEM201","1",9588911,9614877,"p36.22","1p","no",9601894,157
"2467","PIK3CD","PIK3CD","1",9629889,9729114,"p36.22","1p","no",9679501.5,158
"2468","PIK3CD-AS1","PIK3CD-AS1","1",9652610,9654586,"p36.22","1p","no",9653598,159
"2469","PIK3CD-AS2","PIK3CD-AS2","1",9672405,9687604,"p36.22","1p","no",9680004.5,160
"516","CLSTN1","CLSTN1","1",9728926,9823984,"p36.22","1p","no",9776455,161
"595","CTNNBIP1","CTNNBIP1","1",9848276,9910336,"p36.22","1p","no",9879306,162
"1952","LZIC","LZIC","1",9922113,9943407,"p36.22","1p","no",9932760,163
"2198","NMNAT1","NMNAT1","1",9943428,9985501,"p36.22","1p","no",9964464.5,164
"2724","RBP7","RBP7","1",9997206,10016021,"p36.22","1p","no",10006613.5,165
"3399","UBE4B","UBE4B","1",10032832,10181239,"p36.22","1p","no",10107035.5,166
"1477","KIF1B","KIF1B","1",10210570,10381603,"p36.22","1p","no",10296086.5,167
"2447","PGD","PGD","1",10398592,10420511,"p36.22","1p","no",10409551.5,168
"448","CENPS","CENPS","1",10430433,10442808,"p36.22","1p","no",10436620.5,169
"551","CORT","CORT","1",10450031,10451998,"p36.22","1p","no",10451014.5,170
"658","DFFA","DFFA","1",10456522,10472529,"p36.22","1p","no",10464525.5,171
"2439","PEX14","PEX14","1",10472288,10630758,"p36.22","1p","no",10551523,172
"366","CASZ1","CASZ1","1",10636604,10796650,"p36.22","1p","no",10716627,173
"283","C1orf127","C1orf127","1",10946471,10982076,"p36.22","1p","no",10964273.5,174
"3170","TARDBP","TARDBP","1",11012344,11030528,"p36.22","1p","no",11021436,175
"1978","MASP2","MASP2","1",11022009,11047239,"p36.22","1p","no",11034624,176
"3099","SRM","SRM","1",11054584,11060020,"p36.22","1p","no",11057302,177
"845","EXOSC10-AS1","EXOSC10-AS1","1",11060228,11102105,"p36.22","1p","no",11081166.5,178
"844","EXOSC10","EXOSC10","1",11066618,11099869,"p36.22","1p","no",11083243.5,179
"2100","MTOR","MTOR","1",11106535,11262556,"p36.22","1p","no",11184545.5,180
"2101","MTOR-AS1","MTOR-AS1","1",11143898,11149537,"p36.22","1p","no",11146717.5,181
"116","ANGPTL7","ANGPTL7","1",11189355,11195981,"p36.22","1p","no",11192668,182
"3400","UBIAD1","UBIAD1","1",11273198,11296049,"p36.22","1p","no",11284623.5,183
"676","DISP3","DISP3","1",11479155,11537551,"p36.22","1p","no",11508353,184
"1675","LINC01647","LINC01647","1",11609468,11613358,"p36.22","1p","no",11611413,185
"897","FBXO2","FBXO2","1",11637018,11655785,"p36.22","1p","no",11646401.5,186
"902","FBXO44","FBXO44","1",11654375,11663327,"p36.22","1p","no",11658851,187
"1957","MAD2L2","MAD2L2","1",11657230,11691811,"p36.22","1p","no",11674520.5,188
"904","FBXO6","FBXO6","1",11664200,11674354,"p36.22","1p","no",11669277,189
"720","DRAXIN","DRAXIN","1",11691710,11725857,"p36.22","1p","no",11708783.5,190
"70","AGTRAP","AGTRAP","1",11736084,11754802,"p36.22","1p","no",11745443,191
"289","C1orf167","C1orf167","1",11761787,11789585,"p36.22","1p","no",11775686,192
"290","C1orf167-AS1","C1orf167-AS1","1",11777077,11779619,"p36.22","1p","no",11778348,193
"2097","MTHFR","MTHFR","1",11785723,11806455,"p36.22","1p","no",11796089,194
"504","CLCN6","CLCN6","1",11806096,11848079,"p36.22","1p","no",11827087.5,195
"2215","NPPA","NPPA","1",11845709,11848345,"p36.22","1p","no",11847027,196
"2216","NPPB","NPPB","1",11857464,11858945,"p36.22","1p","no",11858204.5,197
"1473","KIAA2013","KIAA2013","1",11919591,11926428,"p36.22","1p","no",11923009.5,198
"2503","PLOD1","PLOD1","1",11934205,11975538,"p36.22","1p","no",11954871.5,199
"2011","MFN2","MFN2","1",11980181,12015211,"p36.22","1p","no",11997696,200
"2024","MIIP","MIIP","1",12019466,12032045,"p36.22","1p","no",12025755.5,201
"3297","TNFRSF8","TNFRSF8","1",12063303,12144207,"p36.22","1p","no",12103755,202
"3294","TNFRSF1B","TNFRSF1B","1",12166991,12209228,"p36.22","1p","no",12188109.5,203
"3449","VPS13D","VPS13D","1",12230030,12512047,"p36.22","1p","no",12371038.5,204
"1820","LINC02766","LINC02766","1",12525549,12540875,"p36.21","1p","no",12533212,205
"666","DHRS3","DHRS3","1",12567909,12620133,"p36.21","1p","no",12594021,206
"3","AADACL4","AADACL4","1",12644085,12667076,"p36.21","1p","no",12655580.5,207
"2","AADACL3","AADACL3","1",12716110,12728760,"p36.21","1p","no",12722435,208
"457","CFAP107","CFAP107","1",12746200,12763699,"p36.21","1p","no",12754949.5,209
"2566","PRAMEF12","PRAMEF12","1",12773738,12777906,"p36.21","1p","no",12775822,210
"2561","PRAMEF1","PRAMEF1","1",12791397,12796628,"p36.21","1p","no",12794012.5,211
"2570","PRAMEF15","PRAMEF15","1",13315581,13322598,"p36.21","1p","no",13319089.5,212
"2569","PRAMEF14","PRAMEF14","1",13341892,13347134,"p36.21","1p","no",13344513,213
"2576","PRAMEF19","PRAMEF19","1",13368431,13371947,"p36.21","1p","no",13370189,214
"2571","PRAMEF17","PRAMEF17","1",13389632,13392629,"p36.21","1p","no",13391130.5,215
"2579","PRAMEF20","PRAMEF20","1",13410450,13421328,"p36.21","1p","no",13415889,216
"1915","LRRC38","LRRC38","1",13474973,13514003,"p36.21","1p","no",13494488,217
"2426","PDPN","PDPN","1",13583465,13617957,"p36.21","1p","no",13600711,218
"2615","PRDM2","PRDM2","1",13700188,13825079,"p36.21","1p","no",13762633.5,219
"1431","KAZN","KAZN","1",13892792,15118043,"p36.21","1p","no",14505417.5,220
"1432","KAZN-AS1","KAZN-AS1","1",14338825,14419973,"p36.21","1p","no",14379399,221
"3270","TMEM51-AS1","TMEM51-AS1","1",15111815,15153618,"p36.21","1p","no",15132716.5,222
"3269","TMEM51","TMEM51","1",15152532,15220478,"p36.21","1p","no",15186505,223
"3271","TMEM51-AS2","TMEM51-AS2","1",15164191,15171666,"p36.21","1p","no",15167928.5,224
"934","FHAD1","FHAD1","1",15236521,15400283,"p36.21","1p","no",15318402,225
"757","EFHD2-AS1","EFHD2-AS1","1",15316844,15411229,"p36.21","1p","no",15364036.5,226
"935","FHAD1-AS1","FHAD1-AS1","1",15326680,15343890,"p36.21","1p","no",15335285,227
"756","EFHD2","EFHD2","1",15409888,15430339,"p36.21","1p","no",15420113.5,228
"597","CTRC","CTRC","1",15438442,15449242,"p36.21","1p","no",15443842,229
"438","CELA2A","CELA2A","1",15456728,15472091,"p36.21","1p","no",15464409.5,230
"439","CELA2B","CELA2B","1",15465909,15491395,"p36.21","1p","no",15478652,231
"363","CASP9","CASP9","1",15490832,15526534,"p36.21","1p","no",15508683,232
"690","DNAJC16","DNAJC16","1",15526813,15592379,"p36.21","1p","no",15559596,233
"64","AGMAT","AGMAT","1",15571699,15585051,"p36.21","1p","no",15578375,234
"641","DDI2","DDI2","1",15617458,15669044,"p36.21","1p","no",15643251,235
"2841","RSC1A1","RSC1A1","1",15659713,15662033,"p36.21","1p","no",15660873,236
"2497","PLEKHM2","PLEKHM2","1",15684320,15734769,"p36.21","1p","no",15709544.5,237
"2969","SLC25A34","SLC25A34","1",15736258,15741392,"p36.21","1p","no",15738825,238
"2970","SLC25A34-AS1","SLC25A34-AS1","1",15739759,15749896,"p36.21","1p","no",15744827.5,239
"3282","TMEM82","TMEM82","1",15742499,15747982,"p36.21","1p","no",15745240.5,240
"895","FBLIM1","FBLIM1","1",15756607,15786594,"p36.21","1p","no",15771600.5,241
"3071","SPEN-AS1","SPEN-AS1","1",15770783,15848147,"p36.21","1p","no",15809465,242
"3415","UQCRHL","UQCRHL","1",15807169,15809348,"p36.21","1p","no",15808258.5,243
"3070","SPEN","SPEN","1",15836095,15940456,"p36.21","1p","no",15888275.5,244
"3503","ZBTB17","ZBTB17","1",15941869,15976132,"p36.13","1p","no",15959000.5,245
"3092","SRARP","SRARP","1",16004236,16008807,"p36.13","1p","no",16006521.5,246
"1192","HSPB7","HSPB7","1",16014028,16019594,"p36.13","1p","no",16016811,247
"505","CLCNKA","CLCNKA","1",16018875,16034050,"p36.13","1p","no",16026462.5,248
"506","CLCNKB","CLCNKB","1",16040252,16057311,"p36.13","1p","no",16048781.5,249
"867","FAM131C","FAM131C","1",16057769,16073651,"p36.13","1p","no",16065710,250
"809","EPHA2","EPHA2","1",16124337,16156069,"p36.13","1p","no",16140203,251
"810","EPHA2-AS1","EPHA2-AS1","1",16155072,16183148,"p36.13","1p","no",16169110,252
"577","CROCCP2","CROCCP2","1",16618969,16657232,"p36.13","1p","no",16638100.5,253
"576","CROCC","CROCC","1",16740273,16972964,"p36.13","1p","no",16856618.5,254
"2010","MFAP2","MFAP2","1",16974502,16980632,"p36.13","1p","no",16977567,255
"196","ATP13A2","ATP13A2","1",16985958,17011928,"p36.13","1p","no",16998943,256
"2896","SDHB","SDHB","1",17018664,17054151,"p36.13","1p","no",17036407.5,257
"153","ARHGEF10L","ARHGEF10L","1",17539698,17697874,"p36.13","1p","no",17618786,258
"1860","LINC02810","LINC02810","1",17717625,17749978,"p36.13","1p","no",17733801.5,259
"24","ACTL8","ACTL8","1",17755333,17827063,"p36.13","1p","no",17791198,260
"1680","LINC01654","LINC01654","1",18065657,18074412,"p36.13","1p","no",18070034.5,261
"1370","IGSF21","IGSF21","1",18107798,18378483,"p36.13","1p","no",18243140.5,262
"1371","IGSF21-AS1","IGSF21-AS1","1",18159971,18179346,"p36.13","1p","no",18169658.5,263
"1491","KLHDC7A","KLHDC7A","1",18480930,18485974,"p36.13","1p","no",18483452,264
"2403","PAX7","PAX7","1",18630846,18748866,"p36.13","1p","no",18689856,265
"3173","TAS1R2","TAS1R2","1",18839599,18859660,"p36.13","1p","no",18849629.5,266
"89","ALDH4A1","ALDH4A1","1",18871430,18902724,"p36.13","1p","no",18887077,267
"1210","IFFO2","IFFO2","1",18904280,18956676,"p36.13","1p","no",18930478,268
"3403","UBR4","UBR4","1",19074510,19210266,"p36.13","1p","no",19142388,269
"791","EMC1-AS1","EMC1-AS1","1",19210330,19240709,"p36.13","1p","no",19225519.5,270
"790","EMC1","EMC1","1",19215660,19251552,"p36.13","1p","no",19233606,271
"2082","MRTO4","MRTO4","1",19251805,19260128,"p36.13","1p","no",19255966.5,272
"85","AKR7L","AKR7L","1",19265982,19274194,"p36.13","1p","no",19270088,273
"84","AKR7A3","AKR7A3","1",19282573,19288770,"p36.13","1p","no",19285671.5,274
"83","AKR7A2","AKR7A2","1",19301991,19312144,"p36.13","1p","no",19307067.5,275
"3004","SLC66A1","SLC66A1","1",19312326,19329300,"p36.13","1p","no",19320813,276
"362","CAPZB","CAPZB","1",19338775,19485539,"p36.13","1p","no",19412157,277
"2020","MICOS10","MICOS10","1",19484403,19629821,"p36.13","1p","no",19557112,278
"2021","MICOS10-DT","MICOS10-DT","1",19566701,19596873,"p36.13","1p","no",19581787,279
"2135","NBL1","NBL1","1",19596979,19658456,"p36.13","1p","no",19627717.5,280
"1195","HTR6","HTR6","1",19664875,19680966,"p36.13","1p","no",19672920.5,281
"3243","TMCO4","TMCO4","1",19682240,19799945,"p36.13","1p","no",19741092.5,282
"2799","RNF186","RNF186","1",19814029,19815283,"p36.13","1p","no",19814656,283
"2800","RNF186-AS1","RNF186-AS1","1",19814354,19819502,"p36.13","1p","no",19816928,284
"2365","OTUD3","OTUD3","1",19882395,19912945,"p36.13","1p","no",19897670,285
"2485","PLA2G2E","PLA2G2E","1",19920009,19923617,"p36.13","1p","no",19921813,286
"2482","PLA2G2A","PLA2G2A","1",19975431,19980416,"p36.13","1p","no",19977923.5,287
"2488","PLA2G5","PLA2G5","1",20028179,20091911,"p36.13","1p","no",20060045,288
"2484","PLA2G2D","PLA2G2D","1",20111939,20119566,"p36.12","1p","no",20115752.5,289
"2486","PLA2G2F","PLA2G2F","1",20139323,20150381,"p36.12","1p","no",20144852,290
"2483","PLA2G2C","PLA2G2C","1",20161253,20186518,"p36.12","1p","no",20173885.5,291
"3404","UBXN10","UBXN10","1",20186096,20196050,"p36.12","1p","no",20191073,292
"1729","LINC01757","LINC01757","1",20242992,20244664,"p36.12","1p","no",20243828,293
"3459","VWA5B1","VWA5B1","1",20290875,20359518,"p36.12","1p","no",20325196.5,294
"1616","LINC01141","LINC01141","1",20360579,20439489,"p36.12","1p","no",20400034,295
"345","CAMK2N1","CAMK2N1","1",20482391,20486210,"p36.12","1p","no",20484300.5,296
"2105","MUL1","MUL1","1",20499448,20508151,"p36.12","1p","no",20503799.5,297
"881","FAM43B","FAM43B","1",20552573,20555020,"p36.12","1p","no",20553796.5,298
"416","CDA","CDA","1",20589086,20618903,"p36.12","1p","no",20603994.5,299
"2471","PINK1","PINK1","1",20633458,20651511,"p36.12","1p","no",20642484.5,300
"2472","PINK1-AS","PINK1-AS","1",20642657,20652193,"p36.12","1p","no",20647425,301
"642","DDOST","DDOST","1",20651767,20661544,"p36.12","1p","no",20656655.5,302
"1476","KIF17","KIF17","1",20664014,20718017,"p36.12","1p","no",20691015.5,303
"2934","SH2D5","SH2D5","1",20719731,20732837,"p36.12","1p","no",20726284,304
"1177","HP1BP3","HP1BP3","1",20740266,20787323,"p36.12","1p","no",20763794.5,305
"774","EIF4G3","EIF4G3","1",20806292,21177285,"p36.12","1p","no",20991788.5,306
"743","ECE1","ECE1","1",21217247,21345572,"p36.12","1p","no",21281409.5,307
"744","ECE1-AS1","ECE1-AS1","1",21293290,21299874,"p36.12","1p","no",21296582,308
"2148","NBPF3","NBPF3","1",21440128,21485005,"p36.12","1p","no",21462566.5,309
"103","ALPL","ALPL","1",21509397,21578410,"p36.12","1p","no",21543903.5,310
"1812","LINC02596","LINC02596","1",21586472,21591198,"p36.12","1p","no",21588835,311
"2710","RAP1GAP","RAP1GAP","1",21596221,21669357,"p36.12","1p","no",21632789,312
