"","hgnc_symbol","chromosome_name","start_position","end_position"
"TTTY17B","TTTY17B","Y",24485332,24486463
"TTTY4B","TTTY4B","Y",24570202,24607025
"BPY2B","BPY2B","Y",24607560,24639207
"TTTY3","TTTY3","Y",25728490,25733388
"CDY1","CDY1","Y",25622117,25624902
"RBMY1J","RBMY1J","Y",22403410,22417881
"RBMY1B","RBMY1B","Y",21511338,21525786
"RBMY1A1","RBMY1A1","Y",21534879,21549326
"RBMY2FP","RBMY2FP","Y",22310864,22321825
"TTTY11","TTTY11","Y",8789000,8789302
"TTTY9A","TTTY9A","Y",18729882,18739197
"XKRY","XKRY","Y",17769116,17777400
"XKRYP7","XKRYP7","Y",18128610,18136886
"GOLGA2P2Y","GOLGA2P2Y","Y",24209567,24215581
"TXLNGY","TXLNGY","Y",19567382,19604120
"TTTY20","TTTY20","Y",9329880,9334832
"TSPY4","TSPY4","Y",9337464,9340284
"FAM197Y7","FAM197Y7","Y",9367803,9375681
"FAM197Y6","FAM197Y6","Y",9388122,9396027
"TSPY8","TSPY8","Y",9357797,9360599
"TSPY3","TSPY3","Y",9398421,9401223
"BCORP1","BCORP1","Y",19456585,19484884
"FAM197Y5","FAM197Y5","Y",9458613,9464357
"TSPY1","TSPY1","Y",9466955,9469749
"FAM197Y4","FAM197Y4","Y",9479053,9484654
"TSPY9","TSPY9","Y",9487267,9490081
"FAM197Y3","FAM197Y3","Y",9497287,9505159
"TSPY10","TSPY10","Y",9527880,9530682
"TTTY22","TTTY22","Y",9784372,9833895
"TTTY23B","TTTY23B","Y",6243295,6245283
"TSPY2","TSPY2","Y",6246223,6249019
"FAM197Y9","FAM197Y9","Y",6256267,6263953
"LINC00280","LINC00280","Y",6357219,6369921
"TTTY23","TTTY23","Y",9908321,9913142
"FAM224B","FAM224B","Y",17552085,17579960
"TTTY2B","TTTY2B","Y",6406059,6462091
"TTTY1B","TTTY1B","Y",6390390,6411564
"TTTY7","TTTY7","Y",6440866,6457906
"TTTY8B","TTTY8B","Y",6462388,6473691
"TTTY10","TTTY10","Y",20464916,20575519
"TTTY12","TTTY12","Y",7803996,7814684
"TTTY2","TTTY2","Y",9717162,9758661
"TTTY7B","TTTY7B","Y",9706824,9723864
"ZFY-AS1","ZFY-AS1","Y",2966829,3002818
"TTTY6","TTTY6","Y",22439593,22454472
"TTTY17C","TTTY17C","Y",25182267,25213853
"TTTY6B","TTTY6B","Y",22131944,22146831
"SEPTIN14P23","SEPTIN14P23","Y",25377557,25394719
"FAM224A","FAM224A","Y",18326047,18353210
"FAM41AY2","FAM41AY2","Y",18388843,18405046
"LINC00278","LINC00278","Y",3002887,3200509
"TTTY1","TTTY1","Y",9753156,9774329
"LINC00279","LINC00279","Y",8550494,8713825
"TTTY18","TTTY18","Y",8682594,8710911
"TTTY8","TTTY8","Y",9691039,9701695
"TTTY14","TTTY14","Y",18772706,19077555
"TTTY9B","TTTY9B","Y",18581206,18598111
"MIPEP","MIPEP","13",23730189,23889400
"C1QTNF9-AS1","C1QTNF9-AS1","13",24315725,24321598
"MTUS2-AS1","MTUS2-AS1","13",29476515,29490105
"KPNA3","KPNA3","13",49699320,49792682
"CRYL1","CRYL1","13",20403666,20525873
"LINC00562","LINC00562","13",47930153,47932622
"CAB39L","CAB39L","13",49308650,49444064
"LINC00457","LINC00457","13",34435450,34640803
"DNAJC15","DNAJC15","13",43023203,43114213
"GPR12","GPR12","13",26755200,26760786
"MTUS2-AS2","MTUS2-AS2","13",29239379,29250554
"WASF3","WASF3","13",26557683,26688948
"POSTN","POSTN","13",37562583,37598844
"FNDC3A","FNDC3A","13",48975912,49209779
"FREM2-AS1","FREM2-AS1","13",38821798,38827570
"LHFPL6","LHFPL6","13",39209116,39603528
"SPATA13-AS1","SPATA13-AS1","13",24252749,24254439
"AKAP11","AKAP11","13",42272152,42323261
"MZT1","MZT1","13",72708367,72727629
"LINC00374","LINC00374","13",58211697,58233117
"PROSER1","PROSER1","13",39009865,39038089
"MIR548XHG","MIR548XHG","21",18561265,18760320
"CHODL-AS1","CHODL-AS1","21",17835016,17885608
"ERICH6B","ERICH6B","13",45534522,45615739
"TMPRSS15","TMPRSS15","21",18269116,18485879
"LINC00547","LINC00547","13",37534940,37551536
"PIBF1","PIBF1","13",72782133,73016461
"CXADR","CXADR","21",17513043,17593579
"BORA","BORA","13",72727749,72756198
"IGHV1OR21-1","IGHV1OR21-1","21",10649400,10649835
"KLHL1","KLHL1","13",69700594,70108493
"LINC00317","LINC00317","21",21723293,21737319
"LINC01689","LINC01689","21",24304546,24321377
"LINC01442","LINC01442","13",60916981,60945955
"URB1","URB1","21",32311018,32393012
"SCEL","SCEL","13",77535674,77645263
"KRTAP25-1","KRTAP25-1","21",30289145,30289514
"JAM2","JAM2","21",25639258,25717562
"COLEC12","COLEC12","18",316737,500722
"CLDN17","CLDN17","21",30165565,30166805
"FREM2","FREM2","13",38687077,38887131
"KRTAP24-1","KRTAP24-1","21",30281309,30282950
"LINC01892","LINC01892","18",5081171,5098780
"SCAF4","SCAF4","21",31671000,31732118
"LINC01928","LINC01928","18",11454478,11465996
"PRR20B","PRR20B","13",57147488,57150509
"TBC1D4","TBC1D4","13",75283503,75482169
"IMPA2","IMPA2","18",11981025,12030877
"LINC00333","LINC00333","13",84562364,84563236
"PRR20D","PRR20D","13",57160632,57163653
"SPRY2","SPRY2","13",80335976,80341126
"PRR20E","PRR20E","13",57167197,57170218
"RAB31","RAB31","18",9708275,9862551
"UFM1","UFM1","13",38349849,38363619
"KLF5","KLF5","13",73054976,73077541
"YES1","YES1","18",721588,812546
"LINC00307","LINC00307","21",30209151,30211783
"NCAM2","NCAM2","21",20998409,21543329
"CBY2","CBY2","13",45702320,45714559
"WASF3-AS1","WASF3-AS1","13",26606544,26641793
"LINC00377","LINC00377","13",81018176,81044691
"UBAC2","UBAC2","13",99200774,99386504
"LINC01423","LINC01423","21",38323635,38333421
"LINC01543","LINC01543","18",26421139,26438041
"CLDN8","CLDN8","21",30214006,30216097
"LINC02943","LINC02943","21",39028536,39029128
"HUNK-AS1","HUNK-AS1","21",32020966,32021782
"NDUFV2","NDUFV2","18",9102630,9134345
"HUNK","HUNK","21",31873020,32044633
"RFC3","RFC3","13",33818069,33966558
"C21orf91","C21orf91","21",17788974,17819386
"MPPE1","MPPE1","18",11882622,11908366
"LINC00308","LINC00308","21",22098616,22116605
"POU4F1","POU4F1","13",78598362,78603552
"MORC3","MORC3","21",36320189,36386148
"SPATA13","SPATA13","13",23979805,24307074
"PAXBP1","PAXBP1","21",32733899,32771792
"NHLRC3","NHLRC3","13",39038306,39050109
"OLFM4","OLFM4","13",53028813,53052057
"PRR20A","PRR20A","13",57140918,57143939
"LINC01078","LINC01078","13",75250480,75252012
"IPO5","IPO5","13",97953658,98024296
"CELF4","CELF4","18",37243040,37565827
"ITSN1","ITSN1","21",33642400,33899861
"DIAPH3","DIAPH3","13",59665583,60163928
"AKAIN1","AKAIN1","18",5142911,5197503
"SLC14A2","SLC14A2","18",45212995,45683688
"RALBP1","RALBP1","18",9475009,9538114
"SS18","SS18","18",26016253,26091217
"PCDH17","PCDH17","13",57631744,57729311
"LINC00440","LINC00440","13",89181324,89280240
"SERTM1","SERTM1","13",36674020,36697839
"SLC7A1","SLC7A1","13",29509414,29595688
"SLC15A1","SLC15A1","13",98683801,98752672
"ANKRD12","ANKRD12","18",9136228,9285985
"FOXO1","FOXO1","13",40555667,40666641
"COG3","COG3","13",45464898,45536701
"ZBTB7C-AS1","ZBTB7C-AS1","18",48162039,48184725
"SKA1","SKA1","18",50375040,50394168
"LINC01309","LINC01309","13",103420825,103428298
"LRCH1","LRCH1","13",46553168,46753040
"RPRD1A","RPRD1A","18",35984387,36067576
"SCEL-AS1","SCEL-AS1","13",77599755,77606551
"CDADC1","CDADC1","13",49247925,49293485
"RIT2","RIT2","18",42743227,43115691
"DIS3","DIS3","13",72752169,72782096
"CTAGE1","CTAGE1","18",22413599,22417915
"HRH4","HRH4","18",24460637,24479961
"L3MBTL4-AS1","L3MBTL4-AS1","18",6256747,6260934
"MAPK4","MAPK4","18",50560087,50731826
"ST8SIA3","ST8SIA3","18",57352557,57371731
"LINC00351","LINC00351","13",85363601,85544570
"RNF152","RNF152","18",61808067,61894247
"LINC00383","LINC00383","13",69221866,69322190
"LINC00353","LINC00353","13",89548691,89553804
"PRR20C","PRR20C","13",57140918,57157082
"CCDC68","CCDC68","18",54901509,54959461
"SLITRK6","SLITRK6","13",85792790,85806683
"ZMYM5","ZMYM5","13",19823482,19863649
"SMAD2","SMAD2","18",47808957,47931146
"NALF1-IT1","NALF1-IT1","13",107788342,107835451
"SOX1","SOX1","13",112067149,112071706
"MYO16","MYO16","13",108596152,109208005
"IRS2","IRS2","13",109752695,109786583
"SPACA7","SPACA7","13",112376355,112434689
"RAB27B","RAB27B","18",54717860,54895516
"STOML3","STOML3","13",38965925,38990859
"LINC01043","LINC01043","13",112313467,112321758
"TXNL1","TXNL1","18",56597209,56651600
"ANKRD10","ANKRD10","13",110878540,110915069
"LINC01044","LINC01044","13",112322567,112331225
"NALF1","NALF1","13",107163510,107867496
"PCCA","PCCA","13",100089015,100530437
"CTIF","CTIF","18",48539031,48863217
"GAREM1","GAREM1","18",32124877,32470882
"ZBTB7C","ZBTB7C","18",48026672,48410752
"TUBGCP3","TUBGCP3","13",112485011,112588205
"BOD1L2","BOD1L2","18",57147087,57150410
"FBXO15","FBXO15","18",74073353,74147843
"GRK1","GRK1","13",113667219,113737736
"WDR7-OT1","WDR7-OT1","18",57027832,57038845
"OBI1","OBI1","13",78614289,78659155
"CDH7","CDH7","18",65750252,65890337
"UBL3","UBL3","13",29764371,29850617
"LINC01040","LINC01040","13",89477608,89500509
"MLNR","MLNR","13",49220338,49222377
"FLT3","FLT3","13",28003274,28100592
"ATP5PO","ATP5PO","21",33903453,33915814
"TPGS2","TPGS2","18",36777647,36829216
"FAM216B","FAM216B","13",42781550,42791549
"LINC01700","LINC01700","21",38974429,38977774
"CHODL","CHODL","21",17901263,18267373
"LINC00327","LINC00327","13",23465776,23487712
"BACH1","BACH1","21",29194071,29630751
"LINC00352","LINC00352","13",23498796,23502874
"ITM2B","ITM2B","13",48232612,48270357
"MC4R","MC4R","18",60371062,60372775
"LINC01903","LINC01903","18",67808505,67814822
"TMX3","TMX3","18",68673688,68715108
"TRIM13","TRIM13","13",49995888,50020481
"ETS2","ETS2","21",38805183,38824955
"KCNRG","KCNRG","13",50015254,50020922
"FAM124A","FAM124A","13",51222334,51284239
"CDH20","CDH20","18",61333430,61555779
"ZAR1L","ZAR1L","13",32303699,32315363
"N4BP2L1","N4BP2L1","13",32400723,32428311
"PTPN2","PTPN2","18",12785478,12929643
"KCNJ15","KCNJ15","21",38155549,38307357
"SMAD9-IT1","SMAD9-IT1","13",36849366,36850046
"CSNK1A1L","CSNK1A1L","13",37103259,37105664
"TMEM272","TMEM272","13",51813347,51845177
"RFXAP","RFXAP","13",36819222,36829104
"TRPC4","TRPC4","13",37632063,37869802
"CRYZL1","CRYZL1","21",33589341,33643926
"PHLPP1","PHLPP1","18",62715541,62980433
"CDH19","CDH19","18",66501083,66604138
"LINC02565","LINC02565","18",57169615,57171194
"C18orf21","C18orf21","18",35972625,35979286
"CPB2","CPB2","13",46053186,46105033
"N6AMT1","N6AMT1","21",28872191,28885371
"KCTD1","KCTD1","18",26454910,26657401
"LCP1","LCP1","13",46125920,46211871
"SLC39A6","SLC39A6","18",36108531,36129385
"ADAMTS5","ADAMTS5","21",26917922,26967088
"ZBTB14","ZBTB14","18",5289019,5297053
"SIAH3","SIAH3","13",45777242,45851753
"NALCN","NALCN","13",101053776,101416508
"GALR1","GALR1","18",77249848,77277900
"C2CD2","C2CD2","21",41885112,41954018
"ZNF521","ZNF521","18",25061924,25352190
"LINC02974","LINC02974","18",5381641,5385330
"ADRA1D","ADRA1D","20",4220630,4249287
"IMPACT","IMPACT","18",24426634,24453531
"RSPO4","RSPO4","20",958452,1002311
"DEFB129","DEFB129","20",227258,229886
"ANGPT4","ANGPT4","20",869900,916334
"ZBTB21","ZBTB21","21",41986831,42010387
"SHLD1","SHLD1","20",5750393,5864395
"CBLN2","CBLN2","18",72536680,72638521
"UMODL1-AS1","UMODL1-AS1","21",42102134,42108534
"LINC00555","LINC00555","13",102589372,102589813
"CCDC168","CCDC168","13",102729367,102759072
"TEX30","TEX30","13",102765888,102773811
"SLX4IP","SLX4IP","20",10435305,10636829
"CBR1","CBR1","21",36069941,36073166
"DEFB125","DEFB125","20",87250,97094
"LINC01898","LINC01898","18",75696044,75712851
"BMP2","BMP2","20",6767686,6780246
"CBR3","CBR3","21",36135079,36146562
"FAM110A","FAM110A","20",833715,857463
"MBP","MBP","18",76978827,77133683
"EVA1C","EVA1C","21",32412006,32515397
"BIVM","BIVM","13",102799119,102841533
"INSM1","INSM1","20",20368104,20370949
"DEFB128","DEFB128","20",187853,189711
"DEFB126","DEFB126","20",142590,145751
"BTBD3","BTBD3","20",11890723,11926609
"GAS6","GAS6","13",113820549,113864076
"NUDT15","NUDT15","13",48037726,48047221
"CFAP298","CFAP298","21",32592079,32612603
"MED4","MED4","13",48053323,48095131
"PCSK2","PCSK2","20",17226107,17484578
"SGCG","SGCG","13",23180979,23325162
"RBM26","RBM26","13",79311824,79406477
"ZNF343","ZNF343","20",2481817,2524702
"DGKH","DGKH","13",42040036,42256578
"ISM1","ISM1","20",13221274,13300651
"CST5","CST5","20",23875934,23879748
"TMEM241","TMEM241","18",23197144,23437961
"SYNDIG1","SYNDIG1","20",24469629,24666616
"TCP10L","TCP10L","21",32497967,32587373
"XRN2","XRN2","20",21303331,21389825
"BTG3","BTG3","21",17593653,17612945
"SNRPB2","SNRPB2","20",16729961,16742564
"SUMO3","SUMO3","21",44805617,44818779
"CST7","CST7","20",24949269,24959928
"MRPL39","MRPL39","21",25585656,25607517
"APMAP","APMAP","20",24962925,24992751
"ELP2","ELP2","18",36129444,36180557
"SUCLA2","SUCLA2","13",47745736,48037968
"BFSP1","BFSP1","20",17493905,17569220
"SAMSN1","SAMSN1","21",14485228,14658821
"PDYN-AS1","PDYN-AS1","20",1947246,2030028
"GGTLC1","GGTLC1","20",23985050,23988779
"CST2","CST2","20",23823769,23826729
"DSTN","DSTN","20",17570075,17609919
"SIM2","SIM2","21",36699115,36749917
"GPR183","GPR183","13",99294539,99307399
"STK35","STK35","20",2101827,2177038
"ABHD13","ABHD13","13",108218392,108234243
"ESD","ESD","13",46771256,46797420
"SCRT2","SCRT2","20",661596,675802
"NCOA6","NCOA6","20",34689097,34825651
"HLCS-IT1","HLCS-IT1","21",36803984,36806284
"RIPPLY3","RIPPLY3","21",37006150,37019662
"RRP1B","RRP1B","21",43659560,43696079
"HTR2A","HTR2A","13",46831546,46897076
"TDRD3","TDRD3","13",60396457,60573878
"PDXK","PDXK","21",43719094,43762307
"SPART","SPART","13",36301638,36370180
"DEFB127","DEFB127","20",157454,159163
"SPTLC3","SPTLC3","20",13008972,13169103
"DEFB115","DEFB115","20",31257664,31259632
"CD226","CD226","18",69831158,69961803
"SLC23A2","SLC23A2","20",4852356,5010293
"STK24","STK24","13",98445185,98577940
"PIGN","PIGN","18",61905255,62187118
"CST9L","CST9L","20",23564732,23568484
"RCBTB2","RCBTB2","13",48488963,48533256
"LINC01734","LINC01734","20",39213777,39224748
"TASP1","TASP1","20",13389392,13638932
"WFDC9","WFDC9","20",45607939,45631284
"RRP1","RRP1","21",43789513,43805293
"WFDC10A","WFDC10A","20",45629739,45631196
"PPP1R16B","PPP1R16B","20",38805697,38923024
"SLITRK1","SLITRK1","13",83877205,83882474
"IFT88","IFT88","13",20567138,20691444
"DHX35-DT","DHX35-DT","20",38961925,38962111
"TMTC4","TMTC4","13",100603625,100675093
"DHX35","DHX35","20",38962299,39039723
"AGPAT3","AGPAT3","21",43865223,43987592
"EPSTI1","EPSTI1","13",42886388,42992271
"TOX2","TOX2","20",43914852,44069616
"TNFRSF19","TNFRSF19","13",23570370,23676104
"TRAPPC10","TRAPPC10","21",44012309,44106552
"COL4A2-AS2","COL4A2-AS2","13",110456396,110463287
"EYA2","EYA2","20",46894624,47188844
"COL4A2-AS1","COL4A2-AS1","13",110502575,110508179
"RAB20","RAB20","13",110523066,110561722
"NAXD-AS1","NAXD-AS1","13",110613082,110616353
"CARS2","CARS2","13",110641412,110713603
"PWP2","PWP2","21",44107373,44131181
"WFDC11","WFDC11","20",45648563,45670270
"DYRK1A","DYRK1A","21",37365573,37526358
"RIPOR3","RIPOR3","20",50586108,50691542
"KBTBD6","KBTBD6","13",41127569,41132802
"KBTBD7","KBTBD7","13",41189834,41194569
"MTRF1","MTRF1","13",41216369,41263577
"FAM83D","FAM83D","20",38926312,38953106
"SLC2A10","SLC2A10","20",46709649,46736347
"KCNB1","KCNB1","20",49293394,49484297
"NAA16","NAA16","13",41311267,41377030
"CDH22","CDH22","20",46173739,46308498
"CFAP61-AS1","CFAP61-AS1","20",20258407,20267809
"TP53RK-DT","TP53RK-DT","20",46689659,46690289
"NCOA3","NCOA3","20",47501887,47656877
"RGCC","RGCC","13",41457550,41470871
"VWA8","VWA8","13",41566835,41961120
"RAP2A","RAP2A","13",97434169,97469128
"LPAR6","LPAR6","13",48389567,48444704
"PRDM15","PRDM15","21",41798225,41879482
"MC3R","MC3R","20",56248732,56249815
"NAXD","NAXD","13",110615545,110639996
"PREX1","PREX1","20",48624252,48827999
"MOCOS","MOCOS","18",36187497,36272157
"GJA3","GJA3","13",20138255,20161052
"LINC00556","LINC00556","13",20181531,20181942
"GJB2","GJB2","13",20187463,20192938
"NETO1","NETO1","18",72742314,72868146
"GJB6","GJB6","13",20221962,20232365
"CNDP2","CNDP2","18",74495816,74523454
"ZMYM2","ZMYM2","13",19958677,20091829
"PTGIS","PTGIS","20",49503874,49568137
"CBLN4","CBLN4","20",55997357,56005519
"ATP9A","ATP9A","20",51596514,51768390
"RALY","RALY","20",33993646,34108308
"LINC01910","LINC01910","18",70380140,70384591
"LINC01477","LINC01477","18",40066286,40099233
"EEF1AKMT1","EEF1AKMT1","13",20728731,20773961
"CNDP1","CNDP1","18",74534500,74587212
"LATS2","LATS2","13",20973036,21061586
"LATS2-AS1","LATS2-AS1","13",21005157,21018122
"PKNOX1","PKNOX1","21",42974510,43033931
"CENPJ","CENPJ","13",24882279,24922889
"CFAP61","CFAP61","20",20052514,20360703
"LINC01916","LINC01916","18",65423958,65448167
"TWSG1","TWSG1","18",9334767,9402420
"LINC01922","LINC01922","18",74409415,74413209
"DOK6","DOK6","18",69400888,69849087
"CBS","CBS","21",43053191,43076943
"KIAA1328","KIAA1328","18",36829106,37232172
"SHISA2","SHISA2","13",26044597,26052016
"RXFP2","RXFP2","13",31739526,31803389
"SLC17A9","SLC17A9","20",62952707,62969585
"FRY","FRY","13",31846713,32299125
"IGLJCOR18","IGLJCOR18","18",3394889,3395312
"PIAS2","PIAS2","18",46803218,46920160
"PSMA7","PSMA7","20",62136733,62143440
"MED15","MED15","22",20495913,20587632
"RBBP8NL","RBBP8NL","20",62410237,62427539
"LINC00687","LINC00687","20",11800463,11878429
"CST3","CST3","20",23626706,23638473
"HDHD2","HDHD2","18",47107408,47150500
"GID8","GID8","20",62938147,62948475
"U2AF1","U2AF1","21",43092956,43107570
"PMEPA1","PMEPA1","20",57648392,57711536
"PDS5B","PDS5B","13",32586452,32778019
"IER3IP1","IER3IP1","18",47152834,47176364
"SKOR2","SKOR2","18",47206169,47251660
"PHACTR3-AS1","PHACTR3-AS1","20",59624904,59628295
"LINC01056","LINC01056","20",63038011,63053863
"LINC01429","LINC01429","20",51831797,51862912
"EIF2S2","EIF2S2","20",34088309,34112243
"TGIF1","TGIF1","18",3411608,3459978
"SOX18","SOX18","20",64047582,64049639
"SETD4","SETD4","21",36034541,36079389
"ACSS1","ACSS1","20",25006230,25058980
"DAOA-AS1","DAOA-AS1","13",105459055,105505681
"UTP14C","UTP14C","13",52024691,52033600
"INTS6","INTS6","13",51354077,51454264
"TAF4B","TAF4B","18",26226445,26391685
"DOK5","DOK5","20",54475593,54651169
"B4GALT5","B4GALT5","20",49632945,49713878
"IGLV3-12","IGLV3-12","22",22771824,22772582
"IGLV2-11","IGLV2-11","22",22792491,22793007
"PMAIP1","PMAIP1","18",59899996,59904305
"DSG4","DSG4","18",31376777,31414912
"OSM","OSM","22",30262829,30266851
"SALL4","SALL4","20",51782331,51802521
"ZNRF3-IT1","ZNRF3-IT1","22",28992721,29018620
"COL18A1-AS2","COL18A1-AS2","21",45407386,45410065
"COL18A1-AS1","COL18A1-AS1","21",45419716,45425070
"NCF4","NCF4","22",36860988,36878017
"SLC19A1","SLC19A1","21",45493572,45573365
"SCP2D1","SCP2D1","20",18813783,18814378
"BHLHE23","BHLHE23","20",63005927,63007035
"CDH4","CDH4","20",61252261,61940617
"CCDC70","CCDC70","13",51861969,51866232
"GPR18","GPR18","13",99254732,99261744
"DSG3","DSG3","18",31447741,31478702
"MTUS2","MTUS2","13",28820339,29505947
"TTR","TTR","18",31557009,31598833
"COL18A1","COL18A1","21",45405165,45513720
"TNFSF13B","TNFSF13B","13",108251240,108308484
"CDH2","CDH2","18",27932879,28177946
"NDRG3","NDRG3","20",36651766,36746090
"RNF6","RNF6","13",26132115,26222314
"CACNA1I","CACNA1I","22",39570753,39689735
"ATP8A2","ATP8A2","13",25371974,26025851
"RPS21","RPS21","20",62387103,62388520
"NKILA","NKILA","20",57710156,57712780
"SS18L1","SS18L1","20",62143769,62182514
"LIPG","LIPG","18",49560699,49599185
"SACS","SACS","13",23288689,23433763
"NFATC2","NFATC2","20",51386957,51562831
"DYM","DYM","18",49036387,49461347
"FAM3B","FAM3B","21",41304212,41357727
"ANKRD10-IT1","ANKRD10-IT1","13",110894639,110899172
"MEX3C","MEX3C","18",51174550,51218333
"ARHGEF7-IT1","ARHGEF7-IT1","13",111122652,111144264
"TEX29","TEX29","13",111316184,111344249
"KCTD12","KCTD12","13",76880175,76886405
"CLN5","CLN5","13",76990660,77019143
"ADAMTS1","ADAMTS1","21",26835755,26845409
"SYCP2","SYCP2","20",59863564,59933655
"ISX","ISX","22",35066136,35087387
"TCF4","TCF4","18",55222185,55664787
"FBXL3","FBXL3","13",76992598,77027195
"LIF-AS2","LIF-AS2","22",30246205,30246998
"ENTHD1","ENTHD1","22",39743044,39893864
"MYCBP2-AS1","MYCBP2-AS1","13",77026767,77129717
"LIF","LIF","22",30240453,30246759
"MYCBP2-AS2","MYCBP2-AS2","13",77080511,77081190
"ATP11AUN","ATP11AUN","13",112647044,112684497
"ATP11A-AS1","ATP11A-AS1","13",112745449,112754693
"MCF2L-AS1","MCF2L-AS1","13",112967484,112968824
"SERPINE3","SERPINE3","13",51335773,51364735
"CBX7","CBX7","22",39120167,39152680
"METTL21C","METTL21C","13",102685747,102695044
"MIS18A","MIS18A","21",32268228,32279049
"ERCC5","ERCC5","13",102845831,102875995
"MRAP","MRAP","21",32291813,32314784
"PNPLA3","PNPLA3","22",43923792,43964488
"WDR4","WDR4","21",42843094,42879568
"LAMA5","LAMA5","20",62307955,62367312
"EFCAB6","EFCAB6","22",43528744,43812337
"SLC10A2","SLC10A2","13",103043998,103066417
"IL17D","IL17D","13",20702127,20723098
"PRKX-AS1","PRKX-AS1","X",3659487,3668192
"PRKX","PRKX","X",3604340,3713649
"GGACT","GGACT","13",100530164,100589528
"ATP11A","ATP11A","13",112690038,112887168
"VCX2","VCX2","X",8169944,8171267
"NDUFV3","NDUFV3","21",42879644,42913304
"GABPA","GABPA","21",25734570,25772460
"LSM14B","LSM14B","20",62122461,62135374
"TBC1D22A","TBC1D22A","22",46762617,47175699
"CYSLTR2","CYSLTR2","13",48653711,48711226
"CLIC6","CLIC6","21",34668994,34718227
"AMELX","AMELX","X",11293413,11300761
"PHACTR3","PHACTR3","20",59577509,59847711
"OXGR1","OXGR1","13",96985713,96994730
"TPTE","TPTE","21",10521553,10606140
"COMMD6","COMMD6","13",75525214,75549439
"SHROOM2","SHROOM2","X",9786429,9949443
"THSD1","THSD1","13",52377167,52416373
"ANOS1","ANOS1","X",8528874,8732137
"VPS36","VPS36","13",52412602,52450634
"CKAP2","CKAP2","13",52455429,52476628
"TCEA2","TCEA2","20",64049836,64072347
