"ensembl_gene_id" "hgnc_symbol" "chromosome_name" "start_position" "end_position"
"1053" "ENSG00000292251" "GPATCH4" "0" 152858 160055
"1097" "ENSG00000284841" "H2AC25" "0" 48178 49072
"1101" "ENSG00000285449" "H2BC26" "0" 49306 51669
"1107" "ENSG00000285435" "H3-4" "0" 16044 16524
"1121" "ENSG00000291756" "HAPLN2" "0" 177890 184284
"1140" "ENSG00000280680" "HHAT" "0" 107994 459395
"1156" "ENSG00000282175" "HNRNPCL1" "0" 28921 30238
"1158" "ENSG00000282530" "HNRNPCL2" "0" 269828 271194
"1162" "ENSG00000282559" "HNRNPCL3" "0" 215209 216569
"1165" "ENSG00000282095" "HNRNPCL4" "0" 318926 319807
"1170" "ENSG00000282958" "HNRNPR" "0" 73750 114315
"1223" "ENSG00000282694" "IGKV1-12" "0" 149050 149571
"1225" "ENSG00000282603" "IGKV1-13" "0" 154821 155292
"1227" "ENSG00000282282" "IGKV1-16" "0" 208685 209187
"1229" "ENSG00000281978" "IGKV1-17" "0" 226168 226670
"1231" "ENSG00000282762" "IGKV1-22" "0" 279601 280038
"1233" "ENSG00000282666" "IGKV1-27" "0" 322249 322754
"1235" "ENSG00000282571" "IGKV1-32" "0" 362397 362841
"1237" "ENSG00000282811" "IGKV1-33" "0" 375320 377332
"1239" "ENSG00000282157" "IGKV1-35" "0" 395515 395799
"1241" "ENSG00000282394" "IGKV1-37" "0" 406090 406611
"1243" "ENSG00000282120" "IGKV1-39" "0" 428451 428972
"1245" "ENSG00000282801" "IGKV1-5" "0" 56127 56783
"1247" "ENSG00000282163" "IGKV1-6" "0" 75088 75593
"1249" "ENSG00000283113" "IGKV1-8" "0" 101235 101757
"1251" "ENSG00000282758" "IGKV1-9" "0" 118808 119341
"1266" "ENSG00000281078" "IGKV1D-8" "0" 2391 3048
"1270" "ENSG00000291592" "IGKV1OR2-11" "0" 360780 361066
"1272" "ENSG00000281668" "IGKV1OR2-118" "0" 86687 87157
"1275" "ENSG00000291576" "IGKV1OR2-3" "0" 34826 35113
"1277" "ENSG00000291589" "IGKV1OR2-6" "0" 329757 330033
"1279" "ENSG00000291585" "IGKV1OR2-9" "0" 296835 297121
"1281" "ENSG00000282248" "IGKV2-10" "0" 128818 129512
"1283" "ENSG00000282251" "IGKV2-14" "0" 186836 187610
"1285" "ENSG00000282200" "IGKV2-18" "0" 237550 238309
"1287" "ENSG00000282244" "IGKV2-19" "0" 243801 244083
"1289" "ENSG00000282093" "IGKV2-23" "0" 280848 281379
"1291" "ENSG00000282671" "IGKV2-24" "0" 285154 285986
"1293" "ENSG00000282622" "IGKV2-26" "0" 304922 305655
"1295" "ENSG00000282025" "IGKV2-28" "0" 330524 331287
"1297" "ENSG00000282635" "IGKV2-29" "0" 343000 343738
"1299" "ENSG00000281933" "IGKV2-30" "0" 353607 354422
"1301" "ENSG00000282646" "IGKV2-36" "0" 404059 404281
"1303" "ENSG00000282387" "IGKV2-38" "0" 418724 418970
"1305" "ENSG00000282448" "IGKV2-4" "0" 40492 41206
"1307" "ENSG00000282182" "IGKV2-40" "0" 438936 439255
"1322" "ENSG00000291573" "IGKV2OR2-1" "0" 21286 21589
"1324" "ENSG00000291586" "IGKV2OR2-10" "0" 306231 306541
"1326" "ENSG00000291575" "IGKV2OR2-2" "0" 25427 25726
"1328" "ENSG00000291590" "IGKV2OR2-7" "0" 347230 347533
"1330" "ENSG00000291587" "IGKV2OR2-7D" "0" 310369 310672
"1332" "ENSG00000291591" "IGKV2OR2-8" "0" 351372 351671
"1334" "ENSG00000282823" "IGKV3-11" "0" 135997 136557
"1336" "ENSG00000282447" "IGKV3-15" "0" 194003 194613
"1338" "ENSG00000282402" "IGKV3-20" "0" 251400 251986
"1340" "ENSG00000282062" "IGKV3-25" "0" 301326 301578
"1342" "ENSG00000282743" "IGKV3-31" "0" 361037 361562
"1344" "ENSG00000282149" "IGKV3-34" "0" 384124 384613
"1346" "ENSG00000282310" "IGKV3-7" "0" 87294 87907
"1354" "ENSG00000275777" "IGKV3D-7" "0" 41173 41731
"1357" "ENSG00000291588" "IGKV3OR2-5" "0" 323597 323877
"1360" "ENSG00000282172" "IGKV5-2" "0" 6058 6610
"1362" "ENSG00000282210" "IGKV6-21" "0" 268577 269192
"1366" "ENSG00000282050" "IGKV7-3" "0" 23907 24204
"1396" "ENSG00000262826" "INTS3" "0" 44768 91509
"1404" "ENSG00000291754" "IQGAP3" "0" 83962 131161
"1455" "ENSG00000291999" "KCNT2" "0" 75455 458889
"1638" "ENSG00000280534" "LINC01347" "0" 41620 59977
"1646" "ENSG00000283124" "LINC01355" "0" 51286 57467
"1737" "ENSG00000291388" "LINC01772" "0" 265213 272746
"1746" "ENSG00000291392" "LINC01783" "0" 338197 339960
"1748" "ENSG00000282162" "LINC01784" "0" 4199 4672
"1769" "ENSG00000291515" "LINC01822" "0" 5679 28905
"1834" "ENSG00000281226" "LINC02783" "0" 32297 40131
"1866" "ENSG00000291904" "LINC02819" "0" 218148 235203
"1993" "ENSG00000284944" "MED18" "0" 122646 129609
"1997" "ENSG00000291761" "MEF2D" "0" 22284 59336
"2045" "ENSG00000280645" "MMEL1-AS1" "0" 183755 187405
"2126" "ENSG00000291479" "NAT8" "0" 310221 311920
"2128" "ENSG00000291485" "NAT8B" "0" 370074 370838
"2134" "ENSG00000292225" "NBPF1" "0" 1198562 1260797
"2144" "ENSG00000291975" "NBPF26" "0" 334442 452603
"2148" "ENSG00000292440" "NBPF6" "0" 234629 256109
"2163" "ENSG00000291380" "NECAP2" "0" 244986 264343
"2207" "ENSG00000291980" "NOTCH2NLR" "0" 334405 405344
"2258" "ENSG00000291903" "OR10J1" "0" 189672 194905
"2260" "ENSG00000291901" "OR10J3" "0" 65496 66485
"2262" "ENSG00000292247" "OR10J4" "0" 184030 184965
"2276" "ENSG00000292014" "OR14I1" "0" 323012 324018
"2286" "ENSG00000292302" "OR2G6" "0" 168698 181944
"2298" "ENSG00000275244" "OR2T1" "0" 60035 61144
"2302" "ENSG00000292303" "OR2T10" "0" 232406 239619
"2304" "ENSG00000292019" "OR2T11" "0" 265461 276964
"2307" "ENSG00000276821" "OR2T2" "0" 106816 107869
"2311" "ENSG00000292015" "OR2T27" "0" 291449 297110
"2313" "ENSG00000292017" "OR2T29" "0" 198832 204688
"2315" "ENSG00000278377" "OR2T3" "0" 127366 128373
"2320" "ENSG00000292011" "OR2T34" "0" 215727 216683
"2322" "ENSG00000292304" "OR2T35" "0" 279348 286865
"2324" "ENSG00000274870" "OR2T4" "0" 9555 10601
"2328" "ENSG00000273827" "OR2T5" "0" 142604 143637
"2332" "ENSG00000278689" "OR2T6" "0" 35924 36850
"2336" "ENSG00000281395" "OR2T7" "0" 95247 96173
"2376" "ENSG00000281459" "PADI1" "0" 47642 88521
"2378" "ENSG00000291387" "PADI2" "0" 1481961 1534651
"2380" "ENSG00000280549" "PADI3" "0" 91612 126747
"2382" "ENSG00000280908" "PADI4" "0" 153419 209227
"2384" "ENSG00000280949" "PADI6" "0" 217419 246922
"2527" "ENSG00000291978" "PPIAL4A" "0" 500264 501023
"2532" "ENSG00000275974" "PPIAL4F" "0" 104160 104819
"2560" "ENSG00000282663" "PRAMEF10" "0" 74409 79783
"2562" "ENSG00000281934" "PRAMEF11" "0" 6118 12923
"2565" "ENSG00000282741" "PRAMEF13" "0" 350528 355749
"2570" "ENSG00000282212" "PRAMEF18" "0" 377045 380446
"2575" "ENSG00000282817" "PRAMEF2" "0" 38599 43422
"2578" "ENSG00000282566" "PRAMEF25" "0" 223017 232224
"2582" "ENSG00000281987" "PRAMEF26" "0" 303245 310301
"2585" "ENSG00000282437" "PRAMEF27" "0" 203816 210831
"2588" "ENSG00000282125" "PRAMEF33" "0" 457879 463247
"2592" "ENSG00000282584" "PRAMEF4" "0" 60725 67714
"2594" "ENSG00000282424" "PRAMEF5" "0" 408552 417654
"2598" "ENSG00000282119" "PRAMEF6" "0" 119985 129093
"2600" "ENSG00000279195" "PRAMEF7" "0" 98123 101995
"2602" "ENSG00000282583" "PRAMEF8" "0" 435375 439514
"2606" "ENSG00000282298" "PRAMEF9" "0" 326795 333804
"2635" "ENSG00000292084" "PROM2" "0" 36553 53412
"2648" "ENSG00000275125" "PRXL2B" "0" 137681 142659
"2669" "ENSG00000262418" "PTPRC" "0" 280076 363881
"2729" "ENSG00000281540" "RCC2" "0" 251983 284900
"2731" "ENSG00000281391" "RCC2-AS1" "0" 251983 252605
"2749" "ENSG00000292155" "RETSAT" "0" 268195 280769
"2778" "ENSG00000284984" "RHOU" "0" 312483 323668
"2799" "ENSG00000285426" "RNF187" "0" 78581 87387
"2827" "ENSG00000281877" "RPS6KA1" "0" 17379 62648
"2879" "ENSG00000263290" "SCAMP3" "0" 61002 67453
"2913" "ENSG00000281230" "SERTAD4" "0" 12538 26373
"2915" "ENSG00000280963" "SERTAD4-AS1" "0" 11198 13789
"2917" "ENSG00000285069" "SESN2" "0" 53162 76135
"2956" "ENSG00000281917" "SLC16A1" "0" 2426 47592
"2964" "ENSG00000284468" "SLC25A24" "0" 146186 213019
"2971" "ENSG00000263163" "SLC27A3" "0" 91055 96858
"3061" "ENSG00000291401" "SPATA21" "0" 191257 241687
"3150" "ENSG00000291379" "SZRD1" "0" 156718 202286
"3177" "ENSG00000282941" "TCEA3" "0" 150888 194727
"3188" "ENSG00000291547" "TDRD15" "0" 174636 195036
"3215" "ENSG00000292253" "TGOLN2" "0" 244268 254489
"3287" "ENSG00000273936" "TNFRSF14" "0" 106829 116812
"3289" "ENSG00000281197" "TNFRSF14-AS1" "0" 101110 108221
"3321" "ENSG00000291480" "TPRKB" "0" 398602 406898
"3335" "ENSG00000292076" "TRIM43" "0" 239071 246848
"3364" "ENSG00000291760" "TTC24" "0" 138280 146276
"3370" "ENSG00000275571" "TTC34" "0" 186761 352889
"3439" "ENSG00000284338" "VAV3-AS1" "0" 52439 88196
"3445" "ENSG00000291888" "VN1R5" "0" 22415 23653
"3498" "ENSG00000291603" "ZAP70" "0" 639607 665893
"3533" "ENSG00000283009" "ZNF436" "0" 129427 139815
"3535" "ENSG00000283106" "ZNF436-AS1" "0" 138918 141818
"3537" "ENSG00000291884" "ZNF496" "0" 63855 98310
"3539" "ENSG00000291885" "ZNF496-DT" "0" 98497 160282
"3576" "ENSG00000261846" "AADACL2" "0" 155089 180671
"3578" "ENSG00000262466" "AADACL2-AS1" "0" 172616 176304
"3699" "ENSG00000290333" "ANKRD18DP" "0" 151233 174422
"3740" "ENSG00000281157" "ARHGEF26-AS1" "0" 163888 165534
"3777" "ENSG00000281089" "ATG16L1" "0" 155389 241012
"3831" "ENSG00000275544" "BDH1" "0" 2835 53621
"4004" "ENSG00000274362" "CDRT15P3" "0" 98954 105653
"4084" "ENSG00000283448" "CMKLR2" "0" 284334 327065
"4086" "ENSG00000283643" "CMKLR2-AS" "0" 312561 378964
"4094" "ENSG00000291502" "CNOT10" "0" 53371 142101
"4096" "ENSG00000291498" "CNOT10-AS1" "0" 98861 105680
"4112" "ENSG00000291748" "COL3A1" "0" 79333 117706
"4167" "ENSG00000285011" "CRYGC" "0" 126431 128122
"4169" "ENSG00000285434" "CRYGD" "0" 119901 122818
"4271" "ENSG00000292098" "DLX1" "0" 523507 528444
"4314" "ENSG00000292102" "DYNC1I2" "0" 117582 180331
"4335" "ENSG00000283391" "EEF1B2" "0" 268603 271946
"4430" "ENSG00000281553" "FAM240C" "0" 106087 114649
"4438" "ENSG00000288323" "FAM86DP" "0" 49616 81772
"4538" "ENSG00000276126" "GAL3ST2" "0" 11161 16306
"4553" "ENSG00000291927" "GBA3" "0" 14718 141368
"4563" "ENSG00000284925" "GCSAM" "0" 4129 16560
"4670" "ENSG00000292096" "HAT1" "0" 353066 422730
"4703" "ENSG00000288204" "HMX1" "0" 98859 124622
"4738" "ENSG00000282967" "HTN3" "0" 68591 76674
"4816" "ENSG00000283510" "INO80D" "0" 102739 195321
"4818" "ENSG00000283192" "INO80D-AS1" "0" 193623 195582
"4822" "ENSG00000281614" "INPP5D" "0" 5305 153241
"4851" "ENSG00000291496" "ITGA9-AS1" "0" 263494 434459
"4885" "ENSG00000281758" "KCNIP4" "0" 23024 215948
"4898" "ENSG00000281665" "KIAA1143" "0" 263011 286969
"4902" "ENSG00000280610" "KIF15" "0" 287071 398726
"4905" "ENSG00000276734" "KIF5C" "0" 3216 96131
"5042" "ENSG00000280686" "LINC01237" "0" 93461 171794
"5096" "ENSG00000292135" "LINC01856" "0" 95419 118945
"5103" "ENSG00000280980" "LINC01880" "0" 91754 128208
"5157" "ENSG00000288312" "LINC02018" "0" 81879 184676
"5165" "ENSG00000284804" "LINC02025" "0" 82017 93408
"5180" "ENSG00000291557" "LINC02041" "0" 258539 259144
"5194" "ENSG00000281250" "LINC02054" "0" 93681 111782
"5196" "ENSG00000262411" "LINC02066" "0" 47809 68591
"5359" "ENSG00000281122" "MAD2L1-DT" "0" 1292 1694
"5391" "ENSG00000291559" "MASP1" "0" 26961 101659
"5409" "ENSG00000292131" "MED15P9" "0" 312537 314318
"5419" "ENSG00000292097" "METAP1D" "0" 438993 521197
"5495" "ENSG00000276583" "MUC20" "0" 91379 111620
"5503" "ENSG00000277585" "MUC4" "0" 117262 190097
"5574" "ENSG00000283447" "NDUFS1" "0" 223835 268527
"5588" "ENSG00000277926" "NEU4" "0" 20923 29511
"5627" "ENSG00000275326" "NOSTRIN" "0" 1110 35154
"5753" "ENSG00000276977" "PDCD1" "0" 61979 71006
"5820" "ENSG00000292136" "PLAC9P1" "0" 95800 98030
"5830" "ENSG00000284477" "PLCL2-AS1" "0" 355210 356660
"5866" "ENSG00000292127" "POTEF-AS1" "0" 284258 286315
"5931" "ENSG00000292166" "PRSS48" "0" 213892 228593
"5978" "ENSG00000292140" "RAB6C" "0" 151908 154980
"5980" "ENSG00000292139" "RAB6C-AS1" "0" 140500 140622
"6087" "ENSG00000292158" "RPS3A" "0" 36355 41373
"6094" "ENSG00000291554" "RTP1" "0" 7165 11141
"6098" "ENSG00000291555" "RTP4" "0" 178064 181755
"6100" "ENSG00000277949" "RTP5" "0" 81698 85921
"6108" "ENSG00000281766" "RYBP" "0" 49076 122044
"6113" "ENSG00000281857" "SAG" "0" 253154 292393
"6209" "ENSG00000292165" "SH3D19" "0" 39482 262336
"6244" "ENSG00000282739" "SLC25A26" "0" 110410 365012
"6290" "ENSG00000285044" "SLC9C1" "0" 24188 186965
"6314" "ENSG00000292130" "SMPD4" "0" 327940 359302
"6399" "ENSG00000282891" "STATH" "0" 36102 42706
"6449" "ENSG00000279643" "TAMM41" "0" 141500 171339
"6468" "ENSG00000285293" "TBILA" "0" 16713 18649
"6495" "ENSG00000281886" "TGM4" "0" 399958 440340
"6573" "ENSG00000280516" "TMEM42" "0" 387254 391020
"6588" "ENSG00000274058" "TMPRSS11E" "0" 141140 191291
"6625" "ENSG00000291501" "TRIM71" "0" 186223 266050
"6660" "ENSG00000288335" "TWIST2" "0" 75275 138464
"6819" "ENSG00000275272" "YTHDC1" "0" 4029 43731
"6841" "ENSG00000283649" "ZDBF2" "0" 388301 428065
"6854" "ENSG00000281894" "ZKSCAN7" "0" 80547 119527
"6856" "ENSG00000281456" "ZKSCAN7-AS1" "0" 82711 211007
"6864" "ENSG00000281709" "ZNF197" "0" 110242 173825
"6867" "ENSG00000281306" "ZNF35" "0" 174086 186145
"6874" "ENSG00000281661" "ZNF501" "0" 254946 262433
"6876" "ENSG00000281448" "ZNF502" "0" 237993 249181
"6886" "ENSG00000280661" "ZNF660" "0" 103577 125048
"6896" "ENSG00000281626" "ZNF852" "0" 17234 35971
"6929" "ENSG00000292169" "ABT1" "0" 143151 146937
"7092" "ENSG00000231257" "ATAT1" "0" 1970890 1990873
"7133" "ENSG00000229524" "BAG6" "0" 3116310 3129995
"7146" "ENSG00000274803" "BDP1" "0" 985599 1097795
"7165" "ENSG00000230678" "BRD2" "0" 4221380 4225039
"7181" "ENSG00000292177" "BTN1A1" "0" 46483 56605
"7183" "ENSG00000292170" "BTN2A1" "0" 4084 22801
"7191" "ENSG00000275798" "BTNL2" "0" 46833 59248
"7210" "ENSG00000231543" "C2" "0" 3145559 3193454
"7218" "ENSG00000244207" "C4A" "0" 3229797 3250455
"7222" "ENSG00000232565" "C4A-AS1" "0" 3247766 3251295
"7232" "ENSG00000227884" "C4B-AS1" "0" 3411876 3419151
"7284" "ENSG00000285312" "C6orf52" "0" 182302 205681
"7305" "ENSG00000283777" "CANX" "0" 444319 497221
"7320" "ENSG00000288475" "CASP8AP2" "0" 25225 72124
"7327" "ENSG00000283718" "CBY3" "0" 444251 446726
"7425" "ENSG00000280978" "CEP72-DT" "0" 14687 24277
"7433" "ENSG00000241534" "CFB" "0" 3193430 3199864
"7457" "ENSG00000230685" "CLIC1" "0" 3207869 3217043
"7471" "ENSG00000274811" "CLPTM1L" "0" 168910 195710
"7572" "ENSG00000227046" "DAXX" "0" 4730043 4740754
"7618" "ENSG00000234082" "DDX39B-AS1" "0" 2884243 2885077
"7689" "ENSG00000283949" "DUX4" "0" 200222 211819
"7698" "ENSG00000275368" "DYNLT2" "0" 15316 26789
"7706" "ENSG00000288297" "ECSCR" "0" 39089 52538
"7734" "ENSG00000232045" "EHMT2" "0" 3212374 3230309
"7780" "ENSG00000276187" "ERMARD" "0" 26824 56786
"7822" "ENSG00000281951" "FAM157D" "0" 9790 27822
"7834" "ENSG00000288499" "FAM20C" "0" 168259 235989
"7897" "ENSG00000223654" "FLOT1" "0" 2057212 2060006
"7924" "ENSG00000283153" "FRG1" "0" 33800 56132
"7928" "ENSG00000280716" "FRG1-DT" "0" 113889 232669
"7932" "ENSG00000285063" "FRG2" "0" 116955 119843
"7948" "ENSG00000232569" "GABBR1" "0" 821307 898877
"7976" "ENSG00000285222" "GCNT2" "0" 3107 140252
"7997" "ENSG00000288435" "GJA10" "0" 92157 119448
"8061" "ENSG00000257770" "GPX5" "0" 15893 24832
"8063" "ENSG00000281185" "GPX6" "0" 654 5624
"8085" "ENSG00000276910" "GTF2H2" "0" 581052 616068
"8177" "ENSG00000292174" "HCG11" "0" 67889 73584
"8179" "ENSG00000234411" "HCG14" "0" 162114 162906
"8185" "ENSG00000224642" "HCG15" "0" 251788 253069
"8192" "ENSG00000241701" "HCG17" "0" 1713805 1805811
"8197" "ENSG00000235727" "HCG18" "0" 1620298 1656640
"8204" "ENSG00000224923" "HCG20" "0" 2022799 2048530
"8210" "ENSG00000223454" "HCG21" "0" 2425554 2434436
"8215" "ENSG00000228147" "HCG22" "0" 2386020 2392461
"8222" "ENSG00000230134" "HCG24" "0" 4388285 4391269
"8227" "ENSG00000231343" "HCG25" "0" 4443934 4449386
"8234" "ENSG00000234079" "HCG27" "0" 2457092 2463297
"8241" "ENSG00000234599" "HCG9" "0" 1319165 1322464
"8249" "ENSG00000237105" "HCP5" "0" 2940500 2943134
"8282" "ENSG00000229215" "HLA-A" "0" 1147348 1267669
"8290" "ENSG00000206450" "HLA-B" "0" 2524921 2612898
"8340" "ENSG00000236693" "HLA-DPB1" "0" 4380588 4391853
"8392" "ENSG00000229074" "HLA-DRB1" "0" 3988943 4023043
"8415" "ENSG00000206446" "HLA-F-AS1" "0" 1210457 1232895
"8430" "ENSG00000241166" "HLA-L" "0" 1515484 1518204
"8442" "ENSG00000290367" "HLA-V" "0" 1053511 1060283
"8473" "ENSG00000284254" "HNRNPH1" "0" 380457 401011
"8506" "ENSG00000235941" "HSPA1A" "0" 3148086 3150568
"8511" "ENSG00000232804" "HSPA1B" "0" 3160360 3162874
"8533" "ENSG00000283068" "IBTK" "0" 29598 107366
"8700" "ENSG00000280868" "LINC00242" "0" 63992 74027
"8712" "ENSG00000249032" "LINC00533" "0" 138124 144356
"8714" "ENSG00000281305" "LINC00574" "0" 65523 78075
"8732" "ENSG00000235788" "LINC01015" "0" 795087 799235
"8745" "ENSG00000281580" "LINC01060" "0" 59314 202137
"8751" "ENSG00000231836" "LINC01149" "0" 2749706 2755003
"8760" "ENSG00000273954" "LINC01194" "0" 32712 77603
"8763" "ENSG00000280513" "LINC01262" "0" 307217 309097
"8780" "ENSG00000292180" "LINC01445" "0" 324905 449328
"8791" "ENSG00000281736" "LINC01511" "0" 133942 150427
"8796" "ENSG00000237634" "LINC01556" "0" 430282 430942
"8804" "ENSG00000281830" "LINC01596" "0" 218541 221894
"8815" "ENSG00000272857" "LINC01623" "0" 125209 128934
"8823" "ENSG00000280592" "LINC01624" "0" 1 7125
"8862" "ENSG00000274882" "LINC02109" "0" 115886 144741
"8892" "ENSG00000281321" "LINC02197" "0" 881835 976339
"8974" "ENSG00000280737" "LINC02549" "0" 3622 79839
"8976" "ENSG00000236934" "LINC02569" "0" 1771353 1774307
"8984" "ENSG00000225888" "LINC02570" "0" 2094625 2103263
"8994" "ENSG00000227886" "LINC02829" "0" 762884 775931
"9023" "ENSG00000281019" "LINC02982" "0" 5687 15815
"9031" "ENSG00000226799" "LINC03003" "0" 532565 532719
"9042" "ENSG00000288417" "LINC03014" "0" 125237 131153
"9046" "ENSG00000288472" "LINC03015" "0" 111541 125215
"9074" "ENSG00000275079" "LPCAT1" "0" 8170 53293
"9118" "ENSG00000283887" "LTC4S" "0" 559557 562224
"9125" "ENSG00000244672" "LY6G5B" "0" 2918151 2921548
"9132" "ENSG00000231325" "LY6G5C" "0" 3153975 3161330
"9177" "ENSG00000283780" "MAML1" "0" 498402 542877
"9226" "ENSG00000281742" "MCCC2" "0" 1117263 1134443
"9253" "ENSG00000231860" "MDC1-AS1" "0" 2032572 2042688
"9286" "ENSG00000284501" "MGAT4B" "0" 563170 572521
"9347" "ENSG00000283918" "MRNIP" "0" 600693 627733
"9349" "ENSG00000284274" "MRNIP-DT" "0" 624573 626843
"9405" "ENSG00000237108" "MUC22" "0" 2359750 2364549
"9413" "ENSG00000257232" "MUCL3" "0" 2285105 2295265
"9438" "ENSG00000276068" "NAIP" "0" 516878 573494
"9472" "ENSG00000228691" "NEU1" "0" 3190275 3195522
"9485" "ENSG00000235125" "NFKBIL1" "0" 2888805 2900754
"9507" "ENSG00000276920" "NKD2" "0" 27336 57450
"9595" "ENSG00000232289" "OR11A1" "0" 691169 722731
"9603" "ENSG00000249571" "OR12D1" "0" 682648 683594
"9632" "ENSG00000233054" "OR2B3" "0" 351930 352936
"9657" "ENSG00000229467" "OR2I1P" "0" 1039700 1040647
"9690" "ENSG00000226463" "OR2W1" "0" 309838 310865
"9730" "ENSG00000285226" "PAK1IP1" "0" 205856 220666
"9753" "ENSG00000291649" "PCDHA1" "0" 21312 247523
"9755" "ENSG00000291659" "PCDHA10" "0" 91059 247523
"9757" "ENSG00000291662" "PCDHA11" "0" 103359 247523
"9759" "ENSG00000291663" "PCDHA12" "0" 110478 247523
"9761" "ENSG00000291666" "PCDHA13" "0" 117300 247523
"9763" "ENSG00000291650" "PCDHA2" "0" 30028 247523
"9765" "ENSG00000291651" "PCDHA3" "0" 36204 247523
"9767" "ENSG00000291652" "PCDHA4" "0" 42105 247523
"9769" "ENSG00000291653" "PCDHA5" "0" 56780 247523
"9771" "ENSG00000291654" "PCDHA6" "0" 63134 247523
"9773" "ENSG00000291655" "PCDHA7" "0" 69424 247523
"9775" "ENSG00000291656" "PCDHA8" "0" 76363 247523
"9777" "ENSG00000291657" "PCDHA9" "0" 82948 247523
"9779" "ENSG00000291670" "PCDHAC1" "0" 161475 247523
"9781" "ENSG00000291668" "PCDHAC2" "0" 201646 247523
"9783" "ENSG00000291669" "PCDHB1" "0" 286550 294522
"9785" "ENSG00000291699" "PCDHB1-AS1" "0" 281436 331578
"9787" "ENSG00000291689" "PCDHB10" "0" 427529 430823
"9789" "ENSG00000291690" "PCDHB11" "0" 434786 438955
"9791" "ENSG00000291691" "PCDHB12" "0" 443873 447747
"9793" "ENSG00000291692" "PCDHB13" "0" 449095 454155
"9795" "ENSG00000291693" "PCDHB14" "0" 458519 462935
"9797" "ENSG00000291695" "PCDHB15" "0" 480571 484541
"9799" "ENSG00000291684" "PCDHB16" "0" 417563 421402
"9801" "ENSG00000291703" "PCDHB18P" "0" 469727 472094
"9803" "ENSG00000291672" "PCDHB2" "0" 329782 333879
"9805" "ENSG00000291674" "PCDHB3" "0" 335649 339003
"9807" "ENSG00000291676" "PCDHB4" "0" 356994 360799
"9809" "ENSG00000291677" "PCDHB5" "0" 370382 373791
"9811" "ENSG00000291679" "PCDHB6" "0" 385233 388463
"9813" "ENSG00000291681" "PCDHB7" "0" 407820 411559
"9815" "ENSG00000291682" "PCDHB8" "0" 412966 415715
"9817" "ENSG00000291687" "PCDHB9" "0" 422303 426717
"9919" "ENSG00000280840" "PMCHL2" "0" 905808 906314
"10020" "ENSG00000292167" "PRDM9" "0" 73603 158109
"10036" "ENSG00000280635" "PROP1" "0" 130718 131530
"10055" "ENSG00000231370" "PRRC2A" "0" 2868484 2885535
"10062" "ENSG00000238056" "PRRT1" "0" 3480957 3486972
"10077" "ENSG00000230669" "PSMB8" "0" 4145582 4149568
"10093" "ENSG00000242711" "PSMB9" "0" 4149001 4184429
"10116" "ENSG00000230983" "PSORS1C3" "0" 2517868 2522038
"10269" "ENSG00000241779" "RPP21" "0" 1658802 1676380
"10300" "ENSG00000284260" "RUFY1" "0" 315196 376273
"10302" "ENSG00000283808" "RUFY1-AS1" "0" 362178 370002
"10324" "ENSG00000227861" "SAPCD1" "0" 3095411 3097463
"10330" "ENSG00000236912" "SAPCD1-AS1" "0" 3096922 3098200
"10343" "ENSG00000248496" "SCAND3" "0" 63388 77211
"10376" "ENSG00000275581" "SERF1A" "0" 449073 466963
"10378" "ENSG00000277429" "SERF1B" "0" 250579 268460
